"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","organic cyclic compound binding","GO:0097159","1.173986250809157e-13","12.930336989317263","7525","149","105","20196","BRCA1,BRCA2,ATM,PALB2,CHEK2,BRIP1,BARD1,TP53,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,ESR1,KRAS,AKT1,RAD51D,RET,CDKN2A,RAD51C,STK11,BRAF,NBN,SMAD4,RAD50,TERT,PTCH1,HRAS,RB1,MUTYH,MYC,FGFR2,KIT,AR,FGFR3,POLE,RAD51,HNF1A,CDK4,FGFR1,NRAS,POLD1,SMARCA4,MRE11,MSH3,MDM2,TGFBR2,BAP1,BLM,SRC,ARID1A,RAD54L,MEN1,ERBB3,DICER1,NTRK1,EP300,SDHC,ERCC2,BMPR1A,ERBB4,GATA3,SDHD,FANCM,ALK,ABCC1,XRCC3,ATR,PGR,PBRM1,JUN,CTNNA1,STAT3,PMS1,MTOR,SMO,CHEK1,NTRK3,RAD51B,MUC1,SDHA,CDK2,CDK12,NOTCH1,WT1,CYP17A1,MAP2K1,BCL2,PDGFRA,RECQL4,CYP19A1,XRCC2,HNF1B,CREBBP,KMT2D,MAP3K1,TP63,HIF1A,NTRK2,FOXA1,PRKDC,BUB1B"
"GO:MF","molecular function regulator activity","GO:0098772","1.79810967106562e-13","12.745183823122215","2120","149","53","20196","TP53,MSH6,MSH2,MLH1,PMS2,MET,EGFR,PIK3CA,ESR1,KRAS,AKT1,RAD51D,APC,CDKN2A,RAD51C,STK11,CCND1,HRAS,MYC,FLCN,RAD51,NF1,CDK4,NRAS,TSC1,MSH3,TGFBR2,BLM,SRC,TSC2,ERBB3,CDKN2B,ALK,XRCC3,JUN,PMS1,FBXW7,CDKN1B,CDKN1A,SMO,PIK3R1,RAD51B,IL2,CCNE1,NOTCH1,MAP2K1,VEGFA,BCL2,XRCC2,HIF1A,GREM1,EGF,TGFB1"
"GO:MF","catalytic activity","GO:0003824","2.868732150307824e-13","12.542309999357245","5751","149","90","20196","BRCA1,BRCA2,PTEN,ATM,CHEK2,BRIP1,BARD1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,KRAS,AKT1,RAD51D,RET,CDKN2A,RAD51C,STK11,BRAF,CCND1,RAD50,TERT,HRAS,VHL,MUTYH,FGFR2,KIT,FGFR3,POLE,RAD51,CASP8,CDK4,FGFR1,NRAS,POLD1,SDHB,SMARCA4,MRE11,MSH3,MDM2,TGFBR2,BAP1,BLM,SRC,FH,RAD54L,PPM1D,ERBB3,DICER1,NTRK1,EP300,SDHC,ERCC2,BMPR1A,ERBB4,SDHD,FANCM,ALK,ABCC1,XRCC3,ATR,MT-CYB,PMS1,MTOR,CDKN1A,CHEK1,PIK3R1,NTRK3,RAD51B,SDHA,CDK2,CCNE1,CDK12,CYP17A1,MAP2K1,AOPEP,PDGFRA,RECQL4,CYP19A1,XRCC2,CREBBP,KMT2D,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","protein kinase regulator activity","GO:0019887","4.3907320048164115e-13","12.35746306992848","232","149","20","20196","EGFR,PIK3CA,AKT1,APC,CDKN2A,STK11,CCND1,CDK4,ERBB3,CDKN2B,ALK,CDKN1B,CDKN1A,SMO,CCNE1,MAP2K1,VEGFA,GREM1,EGF,TGFB1"
"GO:MF","identical protein binding","GO:0042802","4.4794757051993744e-13","12.348772814498199","2166","149","53","20196","BRCA1,BRCA2,PTEN,ATM,CHEK2,BARD1,TP53,CDH1,MSH2,ERBB2,MET,EGFR,ESR1,KRAS,AKT1,BRAF,SMAD4,RAD50,TERT,RB1,MYC,FGFR2,KIT,FGFR3,RAD51,HNF1A,CASP8,FGFR1,MRE11,MDM2,BLM,TSC2,ERBB3,NTRK1,BMPR1A,ERBB4,GATA3,ALK,PGR,JUN,CTNNA1,STAT3,MTOR,FBXW7,NOTCH1,VEGFA,BCL2,PDGFRA,HNF1B,TP63,NTRK2,GREM1,TGFB1"
"GO:MF","ion binding","GO:0043167","5.071917394493839e-13","12.294827828353384","6153","149","93","20196","BRCA1,ATM,CHEK2,BRIP1,BARD1,TP53,CDH1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,ESR1,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,SMAD4,RAD50,TERT,HRAS,MUTYH,FGFR2,KIT,AR,FGFR3,POLE,RAD51,NF1,CDK4,FGFR1,NRAS,POLD1,SDHB,SMARCA4,MRE11,MSH3,MDM2,TGFBR2,BLM,SRC,RAD54L,PPM1D,ERBB3,DICER1,NTRK1,EP300,SDHC,ERCC2,BMPR1A,ERBB4,GATA3,SDHD,FANCM,ALK,ABCC1,XRCC3,ATR,PGR,MT-CYB,PMS1,MTOR,CDKN1A,CHEK1,NTRK3,RAD51B,SDHA,CDK2,CDK12,NOTCH1,WT1,CYP17A1,MAP2K1,AOPEP,PDGFRA,RECQL4,CYP19A1,XRCC2,CREBBP,KMT2D,MAP3K1,TP63,NTRK2,PRKDC,EGF,BUB1B,ITGB1"
"GO:MF","molecular sensor activity","GO:0140299","6.763436187416937e-13","12.16983260315877","48","149","12","20196","MSH6,MSH2,MLH1,PMS2,RAD51D,RAD51C,RAD51,MSH3,XRCC3,PMS1,RAD51B,XRCC2"
"GO:MF","small molecule binding","GO:0036094","1.2914891996533935e-12","11.888909221353263","6357","149","94","20196","BRCA1,ATM,CHEK2,BRIP1,BARD1,TP53,CDH1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,ESR1,KRAS,AKT1,RAD51D,RET,RAD51C,STK11,BRAF,SMAD4,RAD50,TERT,PTCH1,HRAS,MUTYH,FGFR2,KIT,AR,FGFR3,POLE,RAD51,NF1,CDK4,FGFR1,NRAS,POLD1,SDHB,SMARCA4,MRE11,MSH3,MDM2,TGFBR2,BLM,SRC,RAD54L,PPM1D,ERBB3,DICER1,NTRK1,EP300,SDHC,ERCC2,BMPR1A,ERBB4,GATA3,SDHD,FANCM,ALK,ABCC1,XRCC3,ATR,PGR,MT-CYB,PMS1,MTOR,CDKN1A,CHEK1,NTRK3,RAD51B,SDHA,CDK2,CDK12,NOTCH1,WT1,CYP17A1,MAP2K1,AOPEP,PDGFRA,RECQL4,CYP19A1,XRCC2,CREBBP,KMT2D,MAP3K1,TP63,NTRK2,PRKDC,EGF,BUB1B,ITGB1"
"GO:MF","p53 binding","GO:0002039","2.7420041736077797e-12","11.56193188850586","70","149","13","20196","BRCA1,TP53,CDKN2A,STK11,SMARCA4,MDM2,BLM,EP300,NTRK3,MUC1,CREBBP,TP63,HIF1A"
"GO:MF","DNA secondary structure binding","GO:0000217","3.430287227695372e-12","11.46466951372384","40","149","11","20196","MSH6,MSH2,RAD51D,RAD51C,BLM,MEN1,FANCM,XRCC3,RAD51B,RECQL4,XRCC2"
"GO:MF","transcription factor binding","GO:0008134","2.889143082915972e-11","10.539230949473868","600","149","27","20196","TP53,ESR1,CDKN2A,CTNNB1,NBN,SMAD4,TERT,RB1,VHL,MYC,AR,HNF1A,SMARCA4,SRC,ARID1A,EP300,GATA3,PGR,JUN,STAT3,MTOR,BCL2,HNF1B,CREBBP,HIF1A,FOXA1,PRKDC"
"GO:MF","kinase activator activity","GO:0019209","6.041919004567817e-11","10.218825100993396","136","149","15","20196","EGFR,PIK3CA,STK11,CCND1,TGFBR2,ERBB3,ALK,CDKN1A,PIK3R1,IL2,MAP2K1,VEGFA,GREM1,EGF,TGFB1"
"GO:MF","kinase binding","GO:0019900","7.848700824993984e-11","10.105202224940209","790","149","30","20196","CHEK2,BARD1,TP53,CDH1,ERBB2,EGFR,ESR1,AKT1,APC,CDKN2A,CTNNB1,BRAF,CCND1,RB1,AXIN2,SRC,PPM1D,NTRK1,CDKN2B,STAT3,CDKN1B,CDKN1A,SMO,PIK3R1,CCNE1,CDK12,MAP3K1,HIF1A,SHC1,ITGB1"
"GO:MF","transcription coregulator binding","GO:0001221","1.5136084058892804e-10","9.81998646906253","118","149","14","20196","ESR1,CTNNB1,SMAD4,TERT,MYC,AR,HNF1A,SMARCA4,EP300,GATA3,PGR,HNF1B,CREBBP,HIF1A"
"GO:MF","damaged DNA binding","GO:0003684","2.1401379032143303e-10","9.66955824128847","75","149","12","20196","BRCA1,MSH6,MSH2,NBN,MUTYH,POLD1,BLM,EP300,ERCC2,RECQL4,CREBBP,TP63"
"GO:MF","transferase activity","GO:0016740","2.2339210706636387e-10","9.650932175526947","2346","149","51","20196","BRCA1,BRCA2,ATM,CHEK2,BARD1,ERBB2,MET,EGFR,PIK3CA,AKT1,RET,CDKN2A,STK11,BRAF,CCND1,TERT,VHL,FGFR2,KIT,FGFR3,POLE,CDK4,FGFR1,POLD1,MDM2,TGFBR2,SRC,PPM1D,ERBB3,NTRK1,EP300,BMPR1A,ERBB4,ALK,ATR,MTOR,CDKN1A,CHEK1,PIK3R1,NTRK3,CDK2,CCNE1,CDK12,MAP2K1,PDGFRA,CREBBP,KMT2D,MAP3K1,NTRK2,PRKDC,BUB1B"
"GO:MF","chromatin binding","GO:0003682","2.429005194474314e-10","9.614571556446776","603","149","26","20196","BRIP1,TP53,MSH6,MSH2,MLH1,EGFR,ESR1,CTNNB1,SMAD4,AR,POLE,RAD51,HNF1A,POLD1,SMARCA4,BAP1,ARID1A,MEN1,EP300,FANCM,PBRM1,STAT3,NOTCH1,CREBBP,TP63,FOXA1"
"GO:MF","protein binding","GO:0005515","3.095210680826716e-10","9.50930978463855","14865","149","143","20196","BRCA1,BRCA2,PTEN,ATM,PALB2,CHEK2,BRIP1,BARD1,C11ORF65,TP53,CDH1,MSH6,MSH2,MLH1,PMS2,ERBB2,MET,EGFR,PIK3CA,ESR1,KRAS,AKT1,RAD51D,APC,RET,CDKN2A,CTNNB1,RAD51C,STK11,BRAF,CCND1,NBN,SMAD4,RAD50,TERT,PTCH1,EPCAM,CDC73,HRAS,RB1,VHL,MUTYH,MYC,FLCN,FGFR2,AXIN2,KIT,AR,FGFR3,POLE,RAD51,NF1,HNF1A,CASP8,CDK4,FGFR1,FANCC,NRAS,POLD1,SDHB,SMARCA4,TSC1,MRE11,MSH3,MDM2,TGFBR2,BAP1,BLM,SRC,ARID1A,FH,RAD54L,MEN1,TSC2,PPM1D,ERBB3,DICER1,NTRK1,CDKN2B,FANCD2,EP300,SDHC,ERCC2,BMPR1A,ERBB4,GATA3,SDHD,FANCM,ALK,XRCC3,ATR,PGR,KRT19,PBRM1,JUN,FANCA,CTNNA1,STAT3,PMS1,MTOR,PTCH2,FBXW7,CDKN1B,CDKN1A,SMO,CHEK1,PIK3R1,NTRK3,RAD51B,MUC1,SDHA,CDK2,IL2,CCNE1,CDK12,NOTCH1,WT1,MAP2K1,VEGFA,BCL2,MUC16,PDGFRA,HMMR,RECQL4,XRCC2,HNF1B,CREBBP,KMT2D,MAP3K1,TP63,HIF1A,NTRK2,ABRAXAS1,FOXA1,KRT7,SHC1,PRKDC,GREM1,EGF,DCTN5,TGFB1,BUB1B,ITGB1"
"GO:MF","catalytic activity, acting on a nucleic acid","GO:0140640","5.711713786602706e-10","9.243233563138988","626","149","26","20196","BRIP1,MSH6,MSH2,MLH1,PMS2,RAD51D,RAD51C,RAD50,TERT,MUTYH,POLE,RAD51,POLD1,SMARCA4,MRE11,MSH3,BLM,RAD54L,DICER1,ERCC2,FANCM,XRCC3,PMS1,RAD51B,RECQL4,XRCC2"
"GO:MF","transcription coactivator binding","GO:0001223","1.0613787822665326e-9","8.974129598482277","47","149","10","20196","ESR1,SMAD4,TERT,AR,HNF1A,EP300,GATA3,PGR,CREBBP,HIF1A"
